tile,scenario,n_cells,t_read,t_dem,t_coast,t_idw,t_sweep,t_prune,t_total,status
1992,RP100_SLR_0,27584550,7.217,0.388,1.058,8.401,4.531,1.731,23.339,ok
2330,RP100_SLR_0,37205205,5.217,0.4,1.447,5.28,5.777,2.287,20.426,ok
2331,RP100_SLR_0,71005902,9.694,0.857,2.449,15.458,12.531,5.039,46.058,ok
2341,RP100_SLR_0,44977450,6.548,0.517,1.283,2.091,7.519,2.844,20.825,ok
2342,RP100_SLR_0,62191260,11.0,1.368,3.138,4.622,10.342,3.845,34.343,ok
2343,RP100_SLR_0,45466696,6.216,0.537,1.751,3.9,7.989,3.194,23.606,ok
2353,RP100_SLR_0,8942160,1.57,0.082,0.36,6.008,1.399,0.535,9.959,ok
2640,RP100_SLR_0,32867163,4.33,0.36,0.966,3.225,4.915,2.184,15.998,ok
2643,RP100_SLR_0,71005902,9.33,0.726,2.289,5.57,11.815,4.615,34.379,ok
2650,RP100_SLR_0,70559271,9.653,0.781,2.399,3.86,12.105,4.931,33.763,ok
2652,RP100_SLR_0,71014329,9.713,0.824,2.239,3.31,11.982,4.576,32.679,ok
2661,RP100_SLR_0,71005902,9.76,0.794,1.94,1.962,12.781,4.844,32.113,ok
2662,RP100_SLR_0,31596565,4.662,0.311,0.776,0.985,4.84,2.078,13.666,ok
2670,RP100_SLR_0,59191248,8.35,0.915,1.479,1.024,10.307,4.01,26.12,ok
2863,RP100_SLR_0,29240810,3.821,0.32,1.155,1.807,4.158,1.745,13.016,ok
2870,RP100_SLR_0,22680112,3.431,0.253,0.757,1.708,3.134,1.228,10.522,ok
2872,RP100_SLR_0,71005902,9.353,0.828,2.665,5.848,11.916,4.635,35.276,ok
2873,RP100_SLR_0,135440336,18.535,1.53,4.294,4.825,26.913,9.63,65.792,ok
2882,RP100_SLR_0,70997476,10.129,0.756,1.694,0.359,12.073,4.695,29.737,ok
3072,RP100_SLR_0,38250153,5.442,0.399,0.941,1.23,5.341,1.988,15.357,ok
